ID,Name,Breed,Sex,Age,Weight,Location,Info,URL,Image
GPR-A-5101,Mighty,"Dog - Retriever, Labrador/Mix",Sex : Female,Age : 4Y / 6M,Weight : 50.00 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5101,img/profile/Mighty-1.png
GPR-A-5205,Diamond,Dog - Retriever/Chow Chow,Sex : Female,Age : 7Y / 11M / 4W,Weight : 57.60 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/GPR-A-5205,img/profile/Diamond-1.png
GPR-A-198,Bingo,"Dog - Terrier, Jack Russell/Mix",Sex : Male,Age : 10Y / 1M / 3W,"Location: Gainesville Pet Rescue, Onsite",None,,https://www.shelterluv.com/publish_animal/GPR-A-198,img/profile/Bingo-1.png
GPR-A-401,Elara,"Dog - Retriever, Labrador/Mix",Sex : Female,Age : 1Y / 2M,Location: Foster Home,None,,https://www.shelterluv.com/publish_animal/GPR-A-401,img/profile/Elara-1.png
GPR-A-716,Karma,Dog - Mixed Breed (Large)/Mix,Sex : Female,Age : 3Y / 4M,"Location: Gainesville Pet Rescue, Onsite",None,,https://www.shelterluv.com/publish_animal/GPR-A-716,img/profile/Karma-1.png
GPR-A-916,Rico,Dog - Catahoula Leopard Dog/Mix,Sex : Male,Age : 3Y / 2M,Location: Gainesville Pet Rescue,Deaf,,https://www.shelterluv.com/publish_animal/GPR-A-916,img/profile/Rico-1.png
GPR-A-2237,Daisy,Dog - Hound/Mix,Sex : Female,Age : 2Y / 8M / 3W,Location: Foster Home,None,,https://www.shelterluv.com/publish_animal/GPR-A-2237,img/profile/Daisy-1.png
GPR-A-4756,Axel,Dog - Mixed Breed (Large)/Mix,Sex : Male,Age : 7Y / 3M / 4W,Location: Gainesville Pet Rescue,None,"Axel's adoption fee has been SPONSORED by Sanders Jewelers! Axel is a 7 year old mixed breed dog. Now that he's out of his early years he prefers an laid back life style. He likes to go for walks, and hang out with the dogs in his foster home. This easy going guy can be trusted to free roam the house when you leave, he doesn't bark or chew things up! Please email gvillepetrescue@gmail.com if you're interested in Axel!",https://www.shelterluv.com/publish_animal/GPR-A-4756,img/profile/Axel-1.png
GPR-A-4785,Waylow,Dog - Mixed Breed (Medium)/Mix,Sex : Male,Age : 1Y / 11M,Weight : 40.00 lbs,Location: Gainesville Pet Rescue,"Meet Waylow, our handsome one-year-old Pitbull mix. He's calm, cool, and collected with a little bit of spunk. Don't let his size fool you. This lizard-chasing lover is a shorter dog, but he has the biggest heart, and he's ready to bring his love into a forever home!",https://www.shelterluv.com/publish_animal/GPR-A-4785,img/profile/Waylow-1.png
GPR-A-4793,Pops,Dog - Beagle/Mix,Sex : Male,Age : 9Y / 5M,Weight : 27.00 lbs,Location: Gainesville Pet Rescue,,https://www.shelterluv.com/publish_animal/GPR-A-4793,img/profile/Pops-1.png
GPR-A-4801,Bayou,Dog - Hound/Mix,Sex : Male,Age : 8Y / 6M / 4W,Weight : 50.00 lbs,Location: Gainesville Pet Rescue,"Bayou's adoption fee has been sponsored by Five Star Pizza, which means he can become a member of your family for FREE! A huge thank you to Five Star Pizza for increasing Bayou's chances of finding his forever home. Bayou is an eight-year-old hound mix. He's gentle and great with other dogs. He enjoys spending his time at the dog park meeting new friends. His calm demeanor and gentleness make him the perfect pet for just about anyone. Come out to Gainesville Pet Rescue to meet Bayou! He can't wait to meet you.",https://www.shelterluv.com/publish_animal/GPR-A-4801,img/profile/Bayou-1.png
GPR-A-4804,Holli,Dog - Mixed Breed (Medium)/Mix,Sex : Female,Age : 8Y / 5M / 1W,Weight : 54.20 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/GPR-A-4804,img/profile/Holli-1.png
GPR-A-4815,Penny,"Dog - Hound, Plott/Mix",Sex : Female,Age : 4Y / 9M / 2W,Location: Gainesville Pet Rescue,None,"The outgoing and personable Penny has been sponsored by Five Star Pizza, so now she can become the newest member of your family for FREE! The four-year-old mixed breed has lived in shelters most of her life, which has made her a tough girl, but don't let her toughness fool you. She's a sweetheart who has so much love to give. If you're a runner, she's the perfect buddy to train with! She ran a 5k with her foster mom, and she's ready for more. Even with her high energy, she can be quite the couch potato, so she's the perfect best friend to spend downtime with. She loves to cuddle and nuzzle her favorite people. Penny is currently in a foster home, but she's ready to share her love with her forever family!",https://www.shelterluv.com/publish_animal/GPR-A-4815,img/profile/Penny-1.png
GPR-A-4912,Iris,Dog - Mixed Breed (Large)/Mix,Sex : Female,Age : 2Y / 6M,Location: Foster Home,None,"Great news! The adorable Iris has been sponsored by Five Star Pizza, which means she can become a part of your family for FREE! Thank you, Five Star Pizza for your support in helping the sweet two-year-old mixed breed find her forever home. This bubbly, outgoing dog loves making new friends both human and canine. She's also very intelligent, and she's quick to learn new tricks. She's currently living in a foster home, but she can't wait to meet her forever family!",https://www.shelterluv.com/publish_animal/GPR-A-4912,img/profile/Iris-1.png
GPR-A-5018,Zoey,Dog - Dachshund/Mix,Sex : Female,Age : 9Y / 3M / 2W,Weight : 34.60 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5018,img/profile/Zoey-1.png
GPR-A-5036,Sugar,Dog - Mixed Breed (Medium),Sex : Female,Age : 2Y / 3M / 1W,Weight : 51.00 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5036,img/profile/Sugar-1.png
GPR-A-5048,Daisy,Dog - Mixed Breed (Large),Sex : Female,Age : 3Y / 4M / 1W,Weight : 63.00 lbs,Location: Foster Home,"We would like to thank Five Star Pizza for waiving Daisy's adoption fee and helping her get one step closer to finding her forever home! This bundle of joy can now become a member of your family for FREE! She's a three-year-old mixed breed with lots of love to give. The happy pooch loves giving and getting attention. Because of her past experiences, she can become slightly territorial when she eats, so she prefers to be fed alone if other dogs are around. Other than that, she's always happy, and she loves to play with her toys. Come out to Gainesville Pet Rescue to meet Daisy. She's really excited to find her forever family!",https://www.shelterluv.com/publish_animal/GPR-A-5048,img/profile/Daisy-1.png
GPR-A-5049,Paige,Dog - Mixed Breed (Medium),Sex : Female,Age : 6Y / 3M / 1W,Weight : 50.00 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/GPR-A-5049,img/profile/Paige-1.png
GPR-A-5050,Scruffy,Dog - Dachshund,Sex : Male,Age : 1Y / 1W,Weight : 27.00 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5050,img/profile/Scruffy-1.png
GPR-A-5058,Tilly,Dog - Mixed Breed (Medium),Sex : Female,Age : 5Y / 7M / 1W,Weight : 53.60 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5058,img/profile/Tilly-1.png
GPR-A-5063,Powder,Dog - Mixed Breed (Medium),Sex : Male,Age : 5M / 1W,Weight : 9.10 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5063,img/profile/Powder-1.png
GPR-A-5109,Ray,"Dog - Retriever, Labrador/Black Mouth Cur",Sex : Male,Age : 6Y / 3M / 3W,Weight : 37.00 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5109,img/profile/Ray-1.png
GPR-A-5112,Hope,Dog - Retriever/Mix,Sex : Female,Age : 4Y / 2M / 3W,"Location: Gainesville Pet Rescue, Onsite",None,,https://www.shelterluv.com/publish_animal/GPR-A-5112,img/profile/Hope-1.png
GPR-A-5138,Caroline,"Dog - Foxhound, American/Mix",Sex : Female,Age : 10Y / 3M / 2W,Weight : 40.00 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/GPR-A-5138,img/profile/Caroline-1.png
GPR-A-5141,Clare,Dog - Hound/Mix,Sex : Female,Age : 4Y / 3M / 1W,Weight : 45.00 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5141,img/profile/Clare-1.png
GPR-A-5155,Amy,"Dog - Terrier, Fox/Mix",Sex : Female,Age : 7Y / 2M / 1W,Weight : 10.00 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5155,img/profile/Amy-1.png
GPR-A-5159,Dylan,"Dog - Coonhound, Treeing Walker/Mix",Sex : Male,Age : 6M / 1W,Weight : 18.00 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/GPR-A-5159,img/profile/Dylan-1.png
GPR-A-5176,Lewis,Dog - Mixed Breed (Medium),Sex : Male,Age : 4M / 2W,"Location: Gainesville Pet Rescue, Onsite",None,,https://www.shelterluv.com/publish_animal/GPR-A-5176,img/profile/Lewis-1.png
GPR-A-5180,Stryker,Dog - Mixed Breed (Medium),Sex : Male,Age : 1Y / 1M / 4W,Weight : 50.00 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/GPR-A-5180,img/profile/Stryker-1.png
GPR-A-5192,Mikey,Dog - Shepherd/Mix,Sex : Male,Age : 5Y / 1M / 2W,Weight : 73.00 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/GPR-A-5192,img/profile/Mikey-1.png
GPR-A-5210,Caleb,"Dog - Bulldog, American/Mix",Sex : Male,Age : 1Y / 10M / 1W,Weight : 40.20 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/GPR-A-5210,img/profile/Caleb-1.png
GPR-A-5214,Delray,Dog - Catahoula Leopard Dog/Mix,Sex : Male,Age : 2Y / 1M / 2W,Location: Foster Home,None,,https://www.shelterluv.com/publish_animal/GPR-A-5214,img/profile/Delray-1.png
GPR-A-5222,Kimmy,"Dog - Terrier, Jack Russell",Sex : Female,Age : 8Y / 11M / 2W,Weight : 22.20 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/GPR-A-5222,img/profile/Kimmy-1.png
GPR-A-5223,Greta,"Dog - Shepherd, Australian/Mix",Sex : Female,Age : 2Y / 1M,Weight : 28.00 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/GPR-A-5223,img/profile/Greta-1.png
GPR-A-5226,Cricket,Dog - Shepherd/Mix,Sex : Female,Age : 1Y / 3M,Location: Foster Home,None,,https://www.shelterluv.com/publish_animal/GPR-A-5226,img/profile/Cricket-1.png
GPR-A-5234,Amber,Dog - Coonhound/Mix,Sex : Female,Age : 2Y / 6M / 3W,Weight : 33.00 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5234,img/profile/Amber-1.png
GPR-A-5249,Jill,Dog - Mixed Breed (Medium),Sex : Female,Age : 2Y / 1M / 3W,Weight : 43.40 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/GPR-A-5249,img/profile/Jill-1.png
GPR-A-5250,Katie,Dog - Bulldog/Mix,Sex : Female,Age : 1Y / 2M / 2W,Weight : 60.10 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/GPR-A-5250,img/profile/Katie-1.png
GPR-A-5252,Macbeth,Dog - Bulldog/Mix,Sex : Female,Age : 3Y / 3M / 3W,Weight : 34.60 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5252,img/profile/Macbeth-1.png
GPR-A-5253,Mason,Dog - Mixed Breed (Medium),Sex : Female,Age : 9M / 3W,Weight : 35.00 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5253,img/profile/Mason-1.png
GPR-A-5254,Madison,"Dog - Terrier, Border/Mix",Sex : Female,Age : 3Y / 5M / 2W,Weight : 44.20 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/GPR-A-5254,img/profile/Madison-1.png
GPR-A-5255,Anabelle,"Dog - Hound, Plott/Mix",Sex : Female,Age : 8Y / 3M / 3W,Weight : 42.20 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5255,img/profile/Anabelle-1.png
GPR-A-5264,Nina,"Dog - Terrier, Staffordshire Bull/Mix",Sex : Female,Age : 4M / 2W,Weight : 32.60 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/GPR-A-5264,img/profile/Nina-1.png
GPR-A-5276,Taco,Dog - Chihuahua/Mix,Sex : Male,Age : 1Y / 2W,Weight : 13.30 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5276,img/profile/Taco-1.png
GPR-A-5275,Tequila,Dog - Chihuahua/Mix,Sex : Male,Age : 2Y / 2W,Weight : 9.40 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5275,img/profile/Tequila-1.png
GPR-A-5273,Marty McFly,"Dog - Retriever, Labrador/Mix",Sex : Male,Age : 11M / 3W,Weight : 55.00 lbs,"Location: Gainesville Pet Rescue, Onsite",,https://www.shelterluv.com/publish_animal/GPR-A-5273,img/profile/Marty McFly-1.png
CHUA-A-17613,Ranger,Dog - Bulldog/Mix,Sex : Male,Age : 2Y / 6M / 3W,Weight : 61.00 lbs,"Location: Canine Adoption Floor, B3","Ranger's adoption fee has been sponsored, which means he can become a member of your family for FREE! A huge thank you to the Jamie Kistler for helping this handsome boy find his forever home. Ranger is a two-year-old bulldog mix. He prefers an adult-only home, but he's very friendly with other dogs. This smart boy knows sit, but he's ready to learn more tricks! Come out to the Alachua County Humane Society to meet Ranger. He can't wait to meet you!",https://www.shelterluv.com/publish_animal/CHUA-A-17613,img/profile/Ranger-1.png
CHUA-A-17643,Penny,Dog - Terrier/Mix,Sex : Female,Age : 4Y / 6M,Weight : 46.00 lbs,"Location: Canine Adoption Floor, C2","My name is Penny, please give me a chance today! I am nervous and a little timid in new situations, I would love a quiet home to live in as an only pet.  I love to dig and play with tennis balls, and love a good blanket to curl up in.  I am learning to trust men and sudden movements, so my manners in my kennel here aren't the best sometimes, but please do not let that dissuade you! I am a very good girl and want to be your lucky penny!",https://www.shelterluv.com/publish_animal/CHUA-A-17643,img/profile/Penny-1.png
CHUA-A-18458,Izzy,Dog - Retriever/Mix,Sex : Female,Age : 1Y / 11M / 3W,Weight : 51.80 lbs,"Location: Canine Adoption Floor, C6","I am such a sweet girl, I just am waiting for my perfect family! I am afraid of most men, so I would do well in a household of females. I am dog friendly, but specifically love playing with the little ones! I love paying in the water, playing with rope toys and romping around the yard. If you think you could be the perfect family for me, meet me today. She is now available for adoption for FREE, thanks to The Holly Factory for sponsoring her. ",https://www.shelterluv.com/publish_animal/CHUA-A-18458,img/profile/Izzy-1.png
CHUA-A-18514,Yui,Dog - Hound/Terrier,Sex : Female,Age : 3Y / 6M,Weight : 48.00 lbs,"Location: Foster Home, Foster","Hi I'm Yui and I am looking for a very special home. My life did not start out on a great foot - I was found in the woods last year extremely emaciated with 2 other dogs. Due to my rough start, I do need some extra time to warm up to my new family. Unfortuantley, I am scared of men - so I need to be in a home with women only (I love kids though, so if there are calmer little ones I would do well). I really do well with other dogs and I would do best going into a home with another dog. Having a dog around helps me relax much easier. If you think you could be a good fit for me, please come meet me! Yui has been sponsored by the wonderful Holly Factory! ",https://www.shelterluv.com/publish_animal/CHUA-A-18514,img/profile/Yui-1.png
CHUA-A-19482,Molder,Dog - Bulldog/Mix,Sex : Male,Age : 3Y / 7M / 3W,Weight : 86.00 lbs,"Location: Canine Adoption Floor, D1",,https://www.shelterluv.com/publish_animal/CHUA-A-19482,img/profile/Molder-1.png
CHUA-A-19486,Dolly,Dog - Terrier/Mix,Sex : Female,Age : 3Y / 4M,Weight : 58.00 lbs,"Location: Canine Adoption Floor, C11",,https://www.shelterluv.com/publish_animal/CHUA-A-19486,img/profile/Dolly-1.png
CHUA-A-19507,Molly,Dog - Terrier/Mix,Sex : Female,Age : 1Y / 10M / 1W,Weight : 33.00 lbs,"Location: Canine Adoption Floor, B9",,https://www.shelterluv.com/publish_animal/CHUA-A-19507,img/profile/Molly-1.png
CHUA-A-21179,Faith,"Dog - Terrier, Pit Bull/Mix",Sex : Female,Age : 6Y / 2M / 3W,Weight : 48.60 lbs,"Location: Canine Adoption Floor, D3",,https://www.shelterluv.com/publish_animal/CHUA-A-21179,img/profile/Faith-1.png
CHUA-A-21680,Munchie,Dog - Terrier/Chinese Shar-Pei,Sex : Male,Age : 5Y / 10M / 2W,Weight : 39.60 lbs,"Location: Alachua County Humane Society, Canine Quarantine",,https://www.shelterluv.com/publish_animal/CHUA-A-21680,img/profile/Munchie-1.png
